FIS-Code-Nr.,Name ,Vorname,Verband,Verein,Jahrgang,Geschlecht,FIS-Distanzpunkte,FIS-Sprintpunkte,Startnummer,Gruppe,DSV-Code-Nr.,Startpass,Waffen-Nr.,Nation,Transponder-ID,E-Mail
3200225,Mayer,Jasmin,SBW,SC Münstertal,2007,w,121.48,9999.99,1,1,30695,70173/500613,50581,GER,ZHGAV51,
3515142,Jäger,Daniel,SBW,SC Münstertal,2006,m,122.73,194.98,2,1,31140,40561/501335,247916,GER,ZHGAV52,
3200208,Helmer,Sarah,SBW,SC Münstertal,2006,m,130.49,231.56,3,1,30219,2075-0009,264827,GER,ZHGAV53,
3200219,Schmidt,Theresa,BSV-C,SC Bergen,2006,w,131.01,243.93,4,1,30407,49-18/19-LL,3108382,GER,ZHGAV54,
3205124,Müller,Anna,BSV-C,SC Bergen,2007,w,135.29,303.68,5,1,27359,70777/86461,3065799,GER,ZHGAV55,
3200241,Anger,Rebecca,BSV-C,SC Bergen,2006,w,139.60,9999.99,6,1,30652,21081/84374,401991,GER,ZHGAV56,
3200210,Beck,Konrad,BSV-C,SC Bergen,2006,m,141.33,152.18,7,1,28689,20074/63157,400102,GER,ZHGAV57,
3200111,Herrmann,Alex,BSV-C,SC Bergen,2006,m,144.12,226.81,8,1,30615,21285/86297,50684,GER,ZHGAV58,
3205123,Schuster,Karl,BSV-C,SC Bergen,2007,m,131.05,243.63,9,1,30611,40537/502982,401992,GER,ZHGAV59,
3201208,Hofmann,Timo,BSV-C,SC Bergen,2007,m,134.20,230.56,10,1,28439,4003-0197,265827,GER,ZHGAV60,
